Line #,Fitted,Rev,Name,Description,Designator,Quantity,Manufacturer 1,Manufacturer Part Number 1

"1","Fitted","","CAP CER 4.7uF 16V 10% X5R 0603","4.7µF ±10% 16V Ceramic Capacitor X5R 0603 (1608 Metric)","C1, C2, C5, C6","4","TDK","C1608X5R1C475K080AC"
"2","Fitted","","CAP CER 0.1uF 16V 10% X7R 0402","0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)","C3, C4, C7, C8, C9","5","Murata","GCM155R71C104KA55D"
"3","Fitted","","BLM18PG221SH1D","FERRITE BEAD 220 OHM 0603 1LN","L1, L2","2","Murata","BLM18PG221SH1D"
"4","Fitted","","LSS-110-02-L-DV-A-K","20 Position Connector Self Mating, Non-Gendered Surface Mount Gold","P1","1","Samtec","LSS-110-02-L-DV-A-K"
"5","Fitted","C1","FD-JL-PCB-CB","PCB - Juliet - Camera Board","PCB1","1","",""
"6","Fitted","","RES 4.7K 1/16W 1% 0402","4.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film","R1, R2","2","Vishay","CRCW04024K70FKED"
"7","Not Fitted","","RES 0 OHM JUMPER 1/16W 0402","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R4","0","Vishay","CRCW04020000Z0ED"
"7","Fitted","","RES 0 OHM JUMPER 1/16W 0402","0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)","R5","1","Vishay","CRCW04020000Z0ED"
"8","Fitted","","OVM7690-RYAA","SENSOR CAMERA CMOS 20CAMERACUBE","U1","1","OmniVision Technologies","OVM7690-R20A"
"9","Fitted","","DSC6001HE2A-024.0000","XO (Standard) CMOS Oscillator 1.8V ~ 3.3V Enable/Disable 4-SMD, No Lead","X1","1","Microchip","DSC6001HE2A-024.0000"
