Altium Designer Pick and Place Locations
C:\Users\16032\AppData\Local\TempReleases\Snapshot\2\Assembly Production\Assembly\Pick Place\FD-JL-PCB-MB_C1.txt

========================================================================================================================
File Design Information:

Date:       09/11/20
Time:       12:25
Revision:   Not in VersionControl
Variant:    Production
Units used: mil

Designator Comment                             Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                                               
C24        "CAP CER 47uF 10V 20% X5R 0805"     BottomLayer CAPC0805(2012)145_L        472.126       377.953       360      "47µF ±20% 10V Ceramic Capacitor X5R 0805 (2012 Metric)"                                                  
Q1         DMG2305UX-7                         BottomLayer DIOD-SOT23-3_A_V           118.110       -47.244       360      "P-Channel 20V 4.2A (Ta) 1.4W (Ta) Surface Mount SOT-23"                                                  
R61        "RES 100K 1/16W 1% 0402"            BottomLayer RESC0402(1005)_L           708.661       1000.787      270      "100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"             
U9         MX25V1635FZUI                       BottomLayer MXIC_-_USON-8_V            -279.528      1059.055      270      "FLASH - NOR Memory IC 16Mb (2M x 8) SPI - Quad I/O 80MHz  8-USON (2x3)"                                  
R60        "RES 4.7K 1/16W 1% 0402"            BottomLayer RESC0402(1005)_L           -248.031      1153.543      360      "4.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"             
R59        "RES 4.7K 1/16W 1% 0402"            BottomLayer RESC0402(1005)_L           -314.961      968.504       180      "4.7 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"             
C20        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         -350.394      1019.685      90       "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
C52        "CAP CER 0.1uF 16V 10% X7R 0402"    BottomLayer CAPC0402(1005)55_L         -212.598      877.953       180      "0.1µF ±10% 16V Ceramic Capacitor X7R 0402 (1005 Metric)"                                                 
R67        "RES 0 OHM JUMPER 1/16W 0402"       BottomLayer RESC0402(1005)_L           602.362       763.779       180      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)"                                            
R23        "RES 10K 1/16W 1% 0402"             BottomLayer RESC0402(1005)_L           669.291       763.779       180      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric)"                                             
